"Edit Role %1","Edit Role %1"
"New Role","New Role"
"This role no longer exists.","This role no longer exists."
"Roles and Permissions","Roles and Permissions"
"Role Name","Role Name"
"Permissions to the Role","Permissions to the Role"
"Save","Save"
"Role saved successfully.","Role saved successfully."
"Something went wrong while save the role.","Something went wrong while save the role."
"The company information was accepted for moderation. We will contact you shortly.","The company information was accepted for moderation. We will contact you shortly."
"Delete this Role?","Delete this Role?"
"Are you sure you want to delete this role?","Are you sure you want to delete this role?"
"ID","ID"
"Name","Name"
"Edit","Edit"
"Delete","Delete"
"Administrator","Administrator"
"Created By","Created By"
"This company does not exist.","This company does not exist."
"Edit ""%1"" company","Edit ""%1"" company"
"New Company","New Company"
"Company","Company"
"Back","Back"
"Reset","Reset"
"Save and Continue Edit","Save and Continue Edit"
"Company Name","Company Name"
"Status","Status"
"The company was successfully saved.","The company was successfully saved."
"Something went wrong while saving the company.","Something went wrong while saving the company."
"Company Email","Company Email"
"Sales Representative","Sales Representative"
"Customer Group For Company Users","Customer Group For Company Users"
"Allow Quotes","Allow Quotes"
"Account Information","Account Information"
"Company Legal Name","Company Legal Name"
"Tax ID / VAT ID","Tax ID / VAT ID"
"Reseller ID","Reseller ID"
"Legal Address","Legal Address"
"Street Address","Street Address"
"City","City"
"Country","Country"
"State/Province","State/Province"
"ZIP/Postal Code","ZIP/Postal Code"
"Phone Number","Phone Number"
"First Name","First Name"
"Last Name","Last Name"
"Company Admin Email","Company Admin Email"
"Job Position","Job Position"
"Associate to Website","Associate to Website"
"Send Welcome Email From","Send Welcome Email From"
"Company Admin Information","Company Admin Information"
"Create A New Company","Create A New Company"
"Company Information","Company Information"
"Aheadworks Extensions","Aheadworks Extensions"
"Company Accounts","Company Accounts"
"Default Sales Representative","Default Sales Representative"
"Company Accounts by Aheadworks","Company Accounts by Aheadworks"
"The email is already registered.","The email is already registered."
"Email is required","Email is required"
"This account is blocked.","This account is blocked."
"Users","Users"
"Store Credit and Refund","Store Credit and Refund"
"Limit Per Order","Limit Per Order"
"This option is enabled only if permission ""Total Company Store Credit"" is selected to the Role","This option is enabled only if permission ""Total Company Store Credit"" is selected to the Role"
"0 for unlimited usage","0 for unlimited usage"
"Select the Company","Select the Company"
"Assign to the Company","Assign to the Company"
"Are you sure to assign selected customers to the company?","Are you sure to assign selected customers to the company?"
"Reward Points","Reward Points"
"This option is enabled only if permission ""Total Company Reward Points"" is selected to the Role","This option is enabled only if permission ""Total Company Reward Points"" is selected to the Role"
"Status in Company","Status in Company"
"Companies","Companies"
"Company Admin","Company Admin"
"Admin Email","Admin Email"
"Action","Action"
"Actions","Actions"
"Approve","Approve"
"Decline","Decline"
"Block","Block"
"Company Phone Number","Company Phone Number"
"Notes","Notes"
"Notes about company","Notes about company"
"Notification Email Sender","Notification Email Sender"
"New Company Submitted","New Company Submitted"
"New Company Approved","New Company Approved"
"New Company Declined","New Company Declined"
"Company Status Changed","Company Status Changed"
"New Company User Created","New Company User Created"
"Account Information","Account Information"
"Set as Default","Set as Default"
"(default)","(default)"
"Allowed Payment Methods","Allowed Payment Methods"
"Payment Methods","Payment Methods"
"Company Name","Company Name"
"Company Admin","Company Admin"
"Company Credit Limit","Company Credit Limit"
"The customer now belongs to a company ""%1"". Below is Customer's independent Credit History, if any. %2'To view Customer's current Сredit History as part of the Company, proceed to the %3.","The customer now belongs to a company ""%1"". Below is Customer's independent Credit History, if any. %2'To view Customer's current Сredit History as part of the Company, proceed to the %3."
"These customers will see only Company Credit Limit on the frontend. Customer's credit history can be viewed on the backend.","These customers will see only Company Credit Limit on the frontend. Customer's credit history can be viewed on the backend."